Date,Open,High,Low,Close,Adj Close,Volume,7. dividend amount,8. split coefficient,Ticker
2021-09-07,452.71,452.81,450.7423,451.46,426.530195075839,51671534,0.0000,1.0,SPY
2021-09-08,450.89,451.67,448.86,450.91,426.010566299664,56181907,0.0000,1.0,SPY
2021-09-09,450.7,452.57,448.72,448.98,424.187141685089,57970407,0.0000,1.0,SPY
2021-09-10,451.04,451.49,445.31,445.44,420.842621925711,89948174,0.0000,1.0,SPY
2021-09-13,448.64,448.92,444.11,446.58,421.919670661782,83738649,0.0000,1.0,SPY
2021-09-14,448.12,448.34,443.22,444.17,419.642751842545,78197140,0.0000,1.0,SPY
2021-09-15,444.62,448.41,443.44,447.88,423.14788413274,78792222,0.0000,1.0,SPY
2021-09-16,447.32,448.36,444.02,447.17,422.477090621678,77786735,0.0000,1.0,SPY
2021-09-17,444.92,445.37,441.02,441.4,418.374968167892,118425037,1.4281,1.0,SPY
2021-09-20,434.88,436.56,428.86,434.04,411.398892577235,166445534,0.0000,1.0,SPY
2021-09-21,436.53,437.91,433.07,433.63,411.010279670691,92526112,0.0000,1.0,SPY
2021-09-22,436.05,440.03,433.747,437.86,415.019627462603,102350143,0.0000,1.0,SPY
2021-09-23,439.85,444.89,439.6,443.18,420.06211688411,76395981,0.0000,1.0,SPY
2021-09-24,441.44,444.67,441.21,443.91,420.754037425031,62094837,0.0000,1.0,SPY
2021-09-27,442.81,444.05,441.9,442.64,419.5502852511,61371108,0.0000,1.0,SPY
2021-09-28,439.69,440.04,432.94,433.72,411.095584942859,130436306,0.0000,1.0,SPY
2021-09-29,435.19,437.04,433.85,434.45,411.78750548378,82329213,0.0000,1.0,SPY
2021-09-30,436.02,436.77,428.78,429.14,406.754494425847,140505979,0.0000,1.0,SPY
2021-10-01,430.98,436.0329,427.23,434.24,411.588459848721,129240106,0.0000,1.0,SPY
2021-10-04,433.0,433.96,426.36,428.64,406.280576247134,128569957,0.0000,1.0,SPY
2021-10-05,430.24,435.49,429.39,433.1,410.507926401255,90682520,0.0000,1.0,SPY
2021-10-06,429.27,435.1199,427.54,434.9,412.214031844622,113032245,0.0000,1.0,SPY
2021-10-07,438.39,441.68,438.2,438.66,415.777896548544,72437499,0.0000,1.0,SPY
2021-10-08,439.48,439.89,437.19,437.86,415.019627462603,74557404,0.0000,1.0,SPY
2021-10-11,437.16,440.26,434.62,434.69,412.014986209562,65233285,0.0000,1.0,SPY
2021-10-12,435.67,436.1,432.78,433.62,411.000801307116,71181163,0.0000,1.0,SPY
2021-10-13,434.71,436.05,431.54,435.18,412.479426024701,72973979,0.0000,1.0,SPY
2021-10-14,439.08,442.66,438.58,442.5,419.41758816106,70236825,0.0000,1.0,SPY
2021-10-15,444.75,446.26,444.09,445.87,422.611796685586,66260210,0.0000,1.0,SPY
2021-10-18,443.97,447.55,443.27,447.19,423.862940677389,62213228,0.0000,1.0,SPY
2021-10-19,448.92,450.71,448.27,450.64,427.132976110509,46996827,0.0000,1.0,SPY
2021-10-20,451.13,452.732,451.01,452.41,428.810646463153,49571569,0.0000,1.0,SPY
2021-10-21,451.77,453.829,451.31,453.59,429.929093364916,41305438,0.0000,1.0,SPY
2021-10-22,453.13,454.67,451.05,453.12,429.483610276926,58845088,0.0000,1.0,SPY
2021-10-25,454.28,455.9,452.39,455.55,431.786852625471,45214507,0.0000,1.0,SPY
2021-10-26,457.2,458.49,455.56,455.96,432.175465532016,56075116,0.0000,1.0,SPY
2021-10-27,456.45,457.16,453.86,453.94,430.260836090015,72437997,0.0000,1.0,SPY
2021-10-28,455.46,458.4,455.45,458.32,434.412359335542,51437944,0.0000,1.0,SPY
2021-10-29,455.87,459.56,455.56,459.25,435.293847147948,70162424,0.0000,1.0,SPY
2021-11-01,460.3,460.7021,458.2,460.04,436.042637870315,47474495,0.0000,1.0,SPY
2021-11-02,460.22,462.23,460.08,461.9,437.805613495127,47840033,0.0000,1.0,SPY
2021-11-03,461.3,465.15,460.83,464.72,440.478512023069,52509825,0.0000,1.0,SPY
2021-11-04,465.36,467.0,464.99,466.91,442.554273645832,52847087,0.0000,1.0,SPY
2021-11-05,469.28,470.65,466.92,468.53,444.089768544862,66390563,0.0000,1.0,SPY
2021-11-08,469.7,470.23,468.2031,468.93,444.468903087833,50405194,0.0000,1.0,SPY
2021-11-09,469.32,469.57,465.88,467.38,442.999756733822,50232447,0.0000,1.0,SPY
2021-11-10,465.58,467.38,462.04,463.62,439.4358920299,69429653,0.0000,1.0,SPY
2021-11-11,465.21,465.29,463.75,463.77,439.578067483514,34848495,0.0000,1.0,SPY
2021-11-12,465.12,467.86,464.11,467.27,442.895494734505,51018081,0.0000,1.0,SPY
2021-11-15,468.64,468.81,466.23,467.43,443.047148551694,46980500,0.0000,1.0,SPY
